Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],2022 [YR2022]
Australia,AUS,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,72141.68956,81896.71961,86790.17159,89456.17034,95996.58423,98186.64739,97627.11679
Belgium,BEL,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,100540.5375,106909.3771,114633.0035,116456.3688,122103.8511,115922.4721,123150.8968
Brazil,BRA,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,27836.16374,28563.01612,28859.99175,33189.41352,33253.58183,34726.8008,33118.79335
Cameroon,CMR,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,6658.371,7079.613234,7415.354888,8030.485897,9165.001761,9344.587867,9351.811194
China,CHN,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,4361.126876,6154.548337,9467.675565,16082.51691,23378.56932,32213.11866,34538.72376
France,FRA,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,89259.67202,97732.82163,99085.53101,100174.377,105513.5051,102387.6101,106458.7178
Germany,DEU,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,88658.63025,96141.4523,98939.69236,98485.62353,102705.0947,102961.6208,105077.3529
Ghana,GHA,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,6406.512169,7137.21331,7481.420757,9064.11716,11700.3693,12816.16791,13133.69083
Kenya,KEN,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,9249.627692,8684.297727,8573.277083,9199.205595,9865.568383,10663.23153,11170.4187
Mexico,MEX,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,46093.04843,50826.636,48536.55323,47453.45798,48367.07643,46264.88124,45500.1038
Nigeria,NGA,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,8896.34061,9038.228342,12119.86254,14999.52599,18023.14346,15710.17359,15707.90717
Pakistan,PAK,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,12352.79668,11673.79818,12989.73312,13260.7369,14591.71921,16703.46395,17170.89734
United Kingdom,GBR,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,72380.18589,81658.98292,87887.94141,88714.98891,91332.69743,84947.63361,95908.30796
India,IND,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,6549.205613,7503.693224,9667.414049,12165.80923,16309.9205,19312.59857,20762.78768
South Africa,ZAF,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,32604.70827,33624.77293,36621.29,45419.97006,43513.66395,43627.61686,47311.04405
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,
